,HOUSTON POWER SAVERS,Unnamed: 1,INVOICE
0,TACLB020326E,,
1,,,
2,10222 INWOOD DR.,DATE:,2021-07-30 00:00:00
3,"HOUSTON,TEXAS 77042",INVOICE #,03210730
4,OFFICE # (832) 968-0000,FOR:,New installation
5,,,
6,,,
7,,,
8,,,
9,Sterling Green Village,,
10,15135 Tayport Ln,,
11,"Channelview, TX 77530",,
12,,,
13,,,
14,,,
15,DESCRIPTION,,AMOUNT
16,Install new plenum coil,,
17,M/N:   /  S/N:,,
18,*pull vacuum,,
19,*vacuum time; ~1 HR,,
20,*flush copper lines with R-11,,
21,*reseal openings with hardcast,,
22,*recharge with R-410A,,
23,Install new 110k BTU gas furnace,,
24,*reseal openings with hardcast,,
25,*rewire controls to furnace,,
26,parts and labor,,4070.4
27,,,
28,,,
29,Notes: Email manufacturer warranty information to equipment owner.,,
30,HPS provides a two-year labor warranty,,
31,,TOTAL,4070.4
32,,,
33,,,
34,Make all checks payable to Houston Power Savers,,
35,"If you have any questions concerning this invoice, contact: Kenneth Longoria, (713) 306-2694",,
