,HOUSTON POWER SAVERS,Unnamed: 1,INVOICE
0,TACLB020326E,,
1,,,
2,10222 INWOOD DR.,DATE:,2020-09-30 00:00:00
3,"HOUSTON,TEXAS 77042",INVOICE #,00200930
4,OFFICE # (832) 968-0000,FOR:,A/C not cooling
5,,,
6,,,
7,,,
8,,,
9,Kingwood Senior Village,,
10,"435 Northpines Dr, Unit 224",,
11,"Kingwood, TX, 77339",,
12,,,
13,,,
14,,,
15,DESCRIPTION,,AMOUNT
16,"Replaced 18,000 BTU condensing unit",,
17,M/N: GSX140181  /  S/N: 2008016885,,
18,*pulled vacuum/vacuum time,,
19,*flushed copper lines,,
20,*recharged with R-411,,
21,,subtotal,2373.1707307750003
22,Replaced evaporator slanted aluminum coil,,
23,,subtotal,1101.829269225
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,Notes:,,
31,Emailed all manufacturer warranty info to equipment owner,,
32,HPS will provide a 1-year labor warranty,,
33,,TOTAL,3475
34,,,
35,,,
36,Make all checks payable to Houston Power Savers,,
37,"If you have any questions concerning this invoice, contact: Kenneth Longoria, (713) 306-2694",,
