,HOUSTON POWER SAVERS,Unnamed: 1,INVOICE
0,TACLB020326E,,
1,,,
2,10222 INWOOD DR.,DATE:,2021-08-18 00:00:00
3,"HOUSTON,TEXAS 77042",INVOICE #,01210818
4,OFFICE # (832) 968-0000,FOR:,New installation
5,,,
6,,,
7,,,
8,,,
9,Kingwood Senior Village,,
10,435 Northpines Dr,,
11,"Kingwood, TX, 77339",,
12,,,
13,,,
14,,,
15,DESCRIPTION,,AMOUNT
16,Install new 1.5 ton condensing unit,,
17,M/N: GSX140181  /  S/N: 2108019083,,
18,*pull vacuum,,
19,*vacuum time; ~1 HR,,
20,*flush copper lines with R-11,,
21,*recharge with R-410A,,
22,Install new 1.5 ton evaporator coil tubing,,
23,M/N: Goodman,,
24,*reseal openings with hardcast,,
25,parts and labor,,4070.4
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,Notes: Email manufacturer warranty information to equipment owner.,,
33,HPS provides a two-year labor warranty,,
34,,TOTAL,4070.4
35,,,
36,,,
37,Make all checks payable to Houston Power Savers,,
38,"If you have any questions concerning this invoice, contact: Kenneth Longoria, (713) 306-2694",,
