,HOUSTON POWER SAVERS,Unnamed: 1,INVOICE
0,TACLB020326E,,
1,,,
2,10222 INWOOD DR.,DATE:,2021-06-24 00:00:00
3,"HOUSTON,TEXAS 77042",INVOICE #,02210624
4,OFFICE # (832) 968-0000,FOR:,New Installation
5,,,
6,,,
7,,,
8,,,
9,Sterling Green Village,,
10,972 Leadenhall Cir,,
11,"Channelview, TX 77530",,
12,2816675899,,
13,,,
14,,,
15,DESCRIPTION,,AMOUNT
16,Install new 3 ton 14 SEER condensing unit,,
17,M/N: GSX140361  /  S/N: 2011179128,,
18,*pull vacuum,,
19,*vacuum time; ~1 HR,,
20,*flush copper lines with R-11,,
21,*resolder copper lines,,
22,*recharge with R-410A,,
23,,subtotal,3275
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,Notes: Email manufacturer warranty information to equipment owner.,,
35,HPS provides a two-year labor warranty,,
36,,TOTAL,3275
37,,,
38,,,
39,Make all checks payable to Houston Power Savers,,
40,"If you have any questions concerning this invoice, contact: Kenneth Longoria, (713) 306-2694",,
