,HOUSTON POWER SAVERS,Unnamed: 1,INVOICE
0,TACLB020326E,,
1,,,
2,10222 INWOOD DR.,DATE:,2021-01-07 00:00:00
3,"HOUSTON,TEXAS 77042",INVOICE #,00210107
4,OFFICE # (832) 968-0000,FOR:,New Installation
5,,,
6,,,
7,,,
8,,,
9,Sterling Green Village,,
10,970 Leadenhall Cir,,
11,"Channelview, TX 77530",,
12,,,
13,,,
14,,,
15,DESCRIPTION,,AMOUNT
16,"New 3 ton single stage furnace (60,000 BTU of heat)",,
17,M/N: GMES800603AN  /  S/N: 2012247554,,
18,*remove and install equipment,,
19,*rewire and reconfigure hardware,,
20,*reseal openings with hard cast,,
21,,subtotal,2875
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,Notes:,,
32,5-year warranty on equipment and functional parts,,
33,HPS will provide a 2-year labor warranty,,2875
34,,TOTAL,
35,,,
36,,,
37,Make all checks payable to Houston Power Savers,,
38,"If you have any questions concerning this invoice, contact: Kenneth Longoria, (713) 306-2694",,
